Postal Code,Borough,Neighborhood,Latitude,Longitude,Cluster Labels,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue
M4E,East Toronto,The Beaches,43.67709000000008,-79.29546999999997,8,Trail,Health Food Store,Asian Restaurant,Pub,Wine Bar,Distribution Center,Farm,Falafel Restaurant,Event Space,Ethiopian Restaurant
M4K,East Toronto,"The Danforth West, Riverdale",43.68375000000003,-79.35511999999993,8,Grocery Store,Ice Cream Shop,Coffee Shop,Discount Store,Business Service,Bus Line,Intersection,Park,Gaming Cafe,Gift Shop
M4L,East Toronto,"India Bazaar, The Beaches West",43.66797000000002,-79.31466999999998,8,Sandwich Place,Park,Fast Food Restaurant,Burrito Place,Restaurant,Liquor Store,Pub,Italian Restaurant,Fish & Chips Shop,Steakhouse
M4M,East Toronto,Studio District,43.66213000000005,-79.33496999999993,8,Brewery,Italian Restaurant,American Restaurant,Diner,Arts & Crafts Store,Coffee Shop,Bar,Comfort Food Restaurant,Pet Store,Pizza Place
M4N,Central Toronto,Lawrence Park,43.72843000000007,-79.38712999999996,5,Construction & Landscaping,Bus Line,Swim School,Dog Run,Farm,Falafel Restaurant,Event Space,Ethiopian Restaurant,Electronics Store,Eastern European Restaurant
M4P,Central Toronto,Davisville North,43.71276000000007,-79.38850999999994,8,Hotel,Breakfast Spot,American Restaurant,Park,Gym / Fitness Center,Department Store,Food & Drink Shop,Donut Shop,Farm,Falafel Restaurant
M4R,Central Toronto,"North Toronto West,  Lawrence Park",43.71458000000007,-79.40667999999994,4,Park,Gym Pool,Playground,Distribution Center,Farm,Falafel Restaurant,Event Space,Ethiopian Restaurant,Electronics Store,Eastern European Restaurant
M4S,Central Toronto,Davisville,43.703400000000045,-79.38658999999996,0,Dessert Shop,Italian Restaurant,Thai Restaurant,Coffee Shop,Pizza Place,Café,Sandwich Place,Gym,Seafood Restaurant,Gas Station
M4T,Central Toronto,"Moore Park, Summerhill East",43.690480000000036,-79.38317999999998,3,Gym,Park,Gourmet Shop,Distribution Center,Farm,Falafel Restaurant,Event Space,Ethiopian Restaurant,Electronics Store,Eastern European Restaurant
M4V,Central Toronto,"Summerhill West, Rathnelly, South Hill, Forest Hill SE, Deer Park",43.68568000000005,-79.40236999999995,9,Light Rail Station,Coffee Shop,Liquor Store,Supermarket,Athletics & Sports,Donut Shop,Farmers Market,Farm,Falafel Restaurant,Event Space
M4W,Downtown Toronto,Rosedale,43.68190000000004,-79.37828999999994,6,Park,Bike Trail,Playground,Tennis Court,Shop & Service,Distribution Center,Falafel Restaurant,Event Space,Ethiopian Restaurant,Electronics Store
M4X,Downtown Toronto,"St. James Town, Cabbagetown",43.66788000000002,-79.36648999999993,8,Café,Italian Restaurant,Park,Coffee Shop,Restaurant,Bakery,Farm,Bank,Jewelry Store,Pub
M4Y,Downtown Toronto,Church and Wellesley,43.666590000000035,-79.38132999999993,8,Coffee Shop,Gay Bar,Men's Store,Bubble Tea Shop,Pub,Breakfast Spot,Salon / Barbershop,Burger Joint,Restaurant,Japanese Restaurant
M5A,Downtown Toronto,"Regent Park, Harbourfront",43.65512000000007,-79.36263999999993,8,Coffee Shop,Breakfast Spot,Yoga Studio,Restaurant,Electronics Store,Spa,Pub,Italian Restaurant,Food Truck,Distribution Center
M5B,Downtown Toronto,"Garden District, Ryerson",43.65739000000008,-79.37803999999993,0,Café,Ramen Restaurant,Theater,Coffee Shop,Sandwich Place,Lake,Burger Joint,Electronics Store,Japanese Restaurant,Shopping Mall
M5C,Downtown Toronto,St. James Town,43.65215000000007,-79.37586999999995,0,Café,Cosmetics Shop,Gastropub,Japanese Restaurant,Coffee Shop,Gym,Creperie,Poke Place,Cocktail Bar,Middle Eastern Restaurant
M5E,Downtown Toronto,Berczy Park,43.64536000000004,-79.37305999999995,8,Seafood Restaurant,Coffee Shop,Cocktail Bar,Cheese Shop,Farmers Market,Bakery,Beer Bar,Creperie,Concert Hall,Comfort Food Restaurant
M5G,Downtown Toronto,Central Bay Street,43.65609000000007,-79.38492999999994,0,Coffee Shop,Plaza,Hotel,Middle Eastern Restaurant,Sushi Restaurant,Café,Burger Joint,Bubble Tea Shop,Poke Place,Sandwich Place
M5H,Downtown Toronto,"Richmond, Adelaide, King",43.649700000000045,-79.38257999999995,0,Café,American Restaurant,Coffee Shop,Gym,Restaurant,Seafood Restaurant,Steakhouse,Gluten-free Restaurant,Greek Restaurant,Gym / Fitness Center
M5J,Downtown Toronto,"Harbourfront East, Union Station, Toronto Islands",43.64285000000007,-79.38075999999995,8,Hotel,Coffee Shop,Japanese Restaurant,Aquarium,Plaza,Park,Lounge,IT Services,Beer Bar,Sporting Goods Shop
M5K,Downtown Toronto,"Toronto Dominion Centre, Design Exchange",43.64710000000007,-79.38152999999993,0,Café,Coffee Shop,Restaurant,Japanese Restaurant,Gym,Bakery,Sandwich Place,Pub,Museum,Pizza Place
M5L,Downtown Toronto,"Commerce Court, Victoria Hotel",43.64840000000004,-79.37913999999995,0,Café,Restaurant,American Restaurant,Gastropub,Coffee Shop,Hotel,Tailor Shop,Pub,Sandwich Place,Seafood Restaurant
M5N,Central Toronto,Roselawn,43.712080000000064,-79.41847999999997,1,Home Service,Wine Bar,Dog Run,Farmers Market,Farm,Falafel Restaurant,Event Space,Ethiopian Restaurant,Electronics Store,Eastern European Restaurant
M5P,Central Toronto,"Forest Hill North & West, Forest Hill Road Park",43.69479000000007,-79.41439999999993,2,Park,Cosmetics Shop,Farmers Market,Farm,Falafel Restaurant,Event Space,Ethiopian Restaurant,Electronics Store,Eastern European Restaurant,Donut Shop
M5R,Central Toronto,"The Annex, North Midtown, Yorkville",43.674840000000074,-79.40451999999993,0,Sandwich Place,Café,Coffee Shop,History Museum,Burger Joint,Donut Shop,Cheese Shop,Pub,Italian Restaurant,Indian Restaurant
M5S,Downtown Toronto,"University of Toronto, Harbord",43.663110000000074,-79.40179999999998,8,Bakery,Café,Japanese Restaurant,Bookstore,Restaurant,Creperie,Italian Restaurant,Hotel,Greek Restaurant,French Restaurant
M5T,Downtown Toronto,"Kensington Market, Chinatown, Grange Park",43.65351000000004,-79.39721999999995,0,Café,Vietnamese Restaurant,Caribbean Restaurant,Mexican Restaurant,Wine Bar,Organic Grocery,Cheese Shop,Farmers Market,Cocktail Bar,Fish Market
M5V,Downtown Toronto,"CN Tower, King and Spadina, Railway Lands, Harbourfront West, Bathurst Quay, South Niagara, Island airport",43.640820000000076,-79.39817999999997,8,Italian Restaurant,Gym / Fitness Center,Park,Yoga Studio,Brewery,Seafood Restaurant,Burger Joint,Restaurant,Ramen Restaurant,Café
M5W,Downtown Toronto,Stn A PO Boxes,43.648690000000045,-79.38543999999995,0,Café,Hotel,Coffee Shop,Concert Hall,Restaurant,Steakhouse,Theater,Smoke Shop,Speakeasy,Burrito Place
M5X,Downtown Toronto,"First Canadian Place, Underground city",43.648280000000064,-79.38145999999995,0,Café,Restaurant,American Restaurant,Japanese Restaurant,Coffee Shop,Seafood Restaurant,Gym,Steakhouse,Gastropub,Gym / Fitness Center
M6G,Downtown Toronto,Christie,43.66869000000002,-79.42070999999999,0,Café,Grocery Store,Playground,Candy Store,Italian Restaurant,Baby Store,Athletics & Sports,Coffee Shop,Discount Store,Department Store
M6H,West Toronto,"Dufferin, Dovercourt Village",43.665050000000065,-79.43890999999995,8,Park,Bakery,Bus Line,Smoke Shop,Brazilian Restaurant,Pool,Pizza Place,Pharmacy,Bar,Bank
M6J,West Toronto,"Little Portugal, Trinity",43.64848000000006,-79.41773999999998,8,Bar,Asian Restaurant,Vietnamese Restaurant,Wine Bar,Deli / Bodega,Park,New American Restaurant,Men's Store,Korean Restaurant,Japanese Restaurant
M6K,West Toronto,"Brockton, Parkdale Village, Exhibition Place",43.639410000000055,-79.42675999999993,8,Restaurant,Gift Shop,Coffee Shop,Furniture / Home Store,Italian Restaurant,Gym,Spa,Breakfast Spot,Sandwich Place,Japanese Restaurant
M6P,West Toronto,"High Park, The Junction South",43.65973000000002,-79.46280999999993,7,Sandwich Place,Residential Building (Apartment / Condo),Park,Wine Bar,Distribution Center,Falafel Restaurant,Event Space,Ethiopian Restaurant,Electronics Store,Eastern European Restaurant
M6R,West Toronto,"Parkdale, Roncesvalles",43.64777000000004,-79.44988999999998,8,Coffee Shop,American Restaurant,Gift Shop,Breakfast Spot,Eastern European Restaurant,Bookstore,Café,Gourmet Shop,Pizza Place,Butcher
M6S,West Toronto,"Runnymede, Swansea",43.64982000000003,-79.47547999999995,8,Coffee Shop,Café,Bakery,Bank,Gastropub,Flower Shop,Park,Pizza Place,Liquor Store,Pub
M7A,Downtown Toronto,"Queen's Park, Ontario Provincial Government",43.66253000000007,-79.39187999999996,0,Coffee Shop,Sandwich Place,Falafel Restaurant,Italian Restaurant,Mediterranean Restaurant,Bank,Fried Chicken Joint,Café,Theater,Gastropub
M7Y,East Toronto,"Business reply mail Processing Centre, South Central Letter Processing Plant Toronto",43.648690000000045,-79.38543999999995,0,Café,Hotel,Coffee Shop,Concert Hall,Restaurant,Steakhouse,Theater,Smoke Shop,Speakeasy,Burrito Place
